 -54.312   9.474 14 143A 3493 23
 -54.312   9.474 14 143B 3493 36
 -54.312   9.474 14 143C 3501 49
 -54.312   9.474 14 143D 3501 18
 -54.342   9.454 14 144 2957 327
 -54.342   9.454 14 144A 2957 200
 -54.342   9.454 14 144B 2957 36
 -69.378  15.117 15 146 3949 762
 -69.378  15.117 15 146A 3949 105
 -65.175  10.708 15 147 892 162
 -65.174  10.711 15 147A 892 13
 -65.174  10.711 15 147B 892 125
 -65.174  10.711 15 147C 892 189
 -63.721  13.419 15 148 1232 272
 -69.364  15.104 15 149 3972 390
 -69.356  14.511 15 150 4545 180
 -69.356  14.511 15 150A 4545 128
 -73.410  15.017 15 151 2029 381
 -74.608  15.879 15 152 3899 477
 -72.435  13.972 15 153 3932 776
 -80.379  11.085 15 154 3338 278
 -80.380  11.085 15 154A 3338 172
 -81.044   6.123 16 155 2752 536
 -85.401  -1.680 16 156 2369 4
 -85.903  -1.762 16 157 2591 437
 -85.903  -1.762 16 157A 2591 27
 -85.236   6.623 16 158 1953 323
-122.288  12.332 16 159 4484 109
-130.880  11.704 16 160 4940 114
-139.953  10.671 16 161 4939 126
-139.954  10.671 16 161A 4939 245
-140.043  14.870 16 162 4854 153
-150.292  11.244 16 163 5320 294
-150.292  11.244 16 163A 5320 151
-161.517  13.202 17 164 5485 274
-164.860   8.178 17 165 5053 14
-164.860   8.178 17 165A 5053 490
-175.080   3.762 17 166 4962 310
-175.080   3.762 17 166A 4962 9
-176.825   7.068 17 167 3176 1185
 173.598  10.703 17 168 5430 75
 173.550  10.670 17 169 5415 238
 177.617  11.800 17 170 5792 196
-169.460  19.132 17 171 2295 474
-133.373  31.537 18 172 4768 24
-133.373  31.537 18 172A 4768 24
-125.452  39.962 18 173 2927 334
-126.347  44.890 18 174 2815 19
-126.357  44.890 18 174A 2799 879
-125.242  44.837 18 175 1999 271
-124.617  45.933 18 176 193 41
-130.205  50.470 18 177 2006 9
-130.205  50.470 18 177A 2006 507
-147.131  56.956 18 178 4218 794
-145.989  56.409 18 179 3781 109
-147.856  57.363 18 180 4923 470
-148.465  57.438 18 181 3086 369
-148.716  57.883 18 182 1419 123
-148.723  57.881 18 182A 1434 195
-161.206  52.572 19 183 4708 516
-170.923  53.711 19 184 1910 603
-170.923  53.711 19 184A 1910 669
-170.923  53.711 19 184B 1910 973
