 -8.97    33.57   NGOZI                         Tanzania           Caldera             Radiocarbon
 -8.93    33.40   IZUMBWE-MPOLI                 Tanzania           Pyroclastic_cones   Holocene
 -9.13    33.67   RUNGWE                        Tanzania           Stratovolcano       Holocene
 -9.23    33.78   KYEJO                         Tanzania           Stratovolcano       Historical
 0.70     30.25   FORT_PORTAL                   Uganda             Tuff_cones          Holocene
 0.45     30.25   KYATWA_VOLC_FIELD             Uganda             Tuff_cones          Holocene?
 -0.08    29.92   KATWE-KIKORONGO               Uganda             Tuff_cones          Holocene
 -0.20    30.08   BUNYARUGURU                   Uganda             Maars               Holocene
 -0.47    30.18   KATUNGA                       Uganda             Tuff_cone           Holocene
 -0.93    29.33   MAY-YA-MOTO                   Uganda             Fumarole_field      Fumarolic
 -1.408   29.20   NYAMURAGIRA                   DR_of_Congo        Shield_volcano      Historical
 -1.52    29.25   NYIRAGONGO                    DR_of_Congo        Stratovolcano       Historical
 -1.50    29.45   KARISIMBI                     DR_of_Congo/Rwanda Stratovolcano       Holocene
 -1.47    29.492  VISOKE                        DR_of_Congo/Rwanda Stratovolcano       Historical
 -1.38    29.67   MUHAVURA                      Uganda/Rwanda      Stratovolcano       Holocene
 -1.23    29.72   BUFUMBIRA                     Uganda             Cinder_cones        Holocene?
 -2.32    28.75   TSHIBINDA                     DR_of_Congo        Cinder_cones        Holocene
10.75     12.00   BIU_PLATEAU                   Nigeria            Volcanic_field      Holocene?
 7.25     13.67   NGAOUNDERE_PLATEAU            Cameroon           Volcanic_field      Holocene?
 6.25     10.50   OKU_VOLC_FIELD                Cameroon           Stratovolcano       Holocene?
 5.03      9.83   MANENGOUBA                    Cameroon           Stratovolcano       Holocene?
 4.203     9.17   CAMEROON                      Cameroon           Stratovolcano       Historical
 3.35      8.52   SAN_CARLOS                    Equatorial_Guinea  Shield_volcano      Holocene
 3.35      8.63   SAN_JOAQUIN                   Equatorial_Guinea  Shield_volcano      Holocene
 3.58      8.75   SANTA_ISABEL                  Equatorial_Guinea  Shield_volcano      Historical
 0.20      6.72   SÃO_TOMÉ                      S.Tomé_e_Príncipe  Shield_volcano      Holocene?
