-77.00 -12.00 Lima
-76.98 42.88 Geneva
-76.87 40.27 Harrisburg
-76.82 42.10 Elmira
-76.77 18.00 Kingston
-76.75 39.96 York
-76.62 39.43 Lutherville
-76.61 39.29 Baltimore
-76.60 39.40 Towson
-76.49 38.98 Annapolis
-76.35 37.02 Hampton
-76.29 36.85 Norfolk
-76.15 43.06 Syracuse
-76.08 38.56 Cambridge
-76.06 42.12 Endicott
-75.92 37.35 Eastville
-75.91 43.93 Watertown
-75.70 45.42 Ottawa
-75.67 41.42 Scranton
-75.60 38.37 Salisbury
-75.57 6.25 Medellin
-75.55 39.28 Dover
-75.54 39.74 Wilmington
-75.54 39.74 Wilmington
-75.46 40.60 Allentown
-75.23 43.11 Utica
-75.16 39.95 Philadelphia
-75.08 38.72 Rehoboth
-75.03 39.90 Haddonfield
-74.77 40.22 Trenton
-74.47 40.88 Morristown
-74.43 39.36 Atlantic_City
-74.20 40.66 Elizabeth
-74.09 4.59 Bogota
-73.96 40.76 New_York
-73.84 40.91 Mt._Vernon
-73.75 42.65 Albany
-73.64 40.82 Roslyn
-73.56 45.53 Montreal
-73.46 41.38 Danbury
-73.21 44.48 Burlington
-73.20 41.18 Bridgeport
-73.05 41.56 Waterbury
-72.97 43.61 Rutland
-72.92 41.31 New_Haven
-72.83 41.80 Avon
-72.69 41.76 Hartford
-72.65 41.97 Suffield
-72.61 42.06 Agawam
-72.58 42.11 Springfield
-72.58 44.26 Montpelier
-72.48 41.82 Vernon
-72.47 41.90 Ellington
-72.34 18.54 Portau_Prince
-72.30 18.40 Port-Au-Prince
-72.28 42.93 Keene
-72.10 41.34 New
-71.80 42.27 Worcester
-71.65 -33.03 Valparaiso
-71.54 43.20 Concord
-71.46 43.52 Laconia
-71.41 41.83 Providence
-71.38 42.76 Nashua
-71.38 42.99 Manchester
-71.21 46.86 Quebec
-71.15 41.70 Fall_River
-71.06 42.36 Boston
-70.67 -33.44 Santiago
-70.34 -23.69 Antofagasta
-70.27 43.65 Portland
-69.90 18.47 Santo_Domingo
-69.76 44.30 Augusta
-68.77 44.81 Bangor
-68.15 -16.49 LaPaz
-68.02 46.86 Caribou
-68.00 -16.50 La_Paz
-67.00 11.00 Caracas
-66.91 10.51 Caracas
-66.66 45.73 Fredericton
-66.47 45.39 St._John
-66.11 18.47 San_Juan
-65.11 -43.61 Rawson
-64.80 32.30 Hamilton
-63.59 44.64 Halifax
-63.12 46.24 Charlottetown
-61.80 17.96 St._Johns
-61.71 12.05 Grenada
-61.52 10.66 Port_of_Spain
-61.40 15.29 Roseau
-60.20 46.18 Sydney
-60.06 -3.06 Manaus
-59.00 13.10 Bridgtown
-58.15 -34.36 Buenos_Aires
-58.15 6.82 Georgetown
-57.87 -51.69 Stanley
-57.65 -25.30 Asuncion
-56.20 46.78 St._Pierre
-56.19 -34.91 Montevideo
-55.17 5.83 Paramaribo
-52.72 47.56 St._John
-52.33 4.93 Cayenne
-51.70 64.25 Nuuk
-51.00 64.00 Godthab
-48.17 61.21 Arsuk
-47.86 -15.80 Brasilia
-46.63 -23.55 Sao_Paulo
-43.20 -22.91 Rio_de_Janeiro
-34.89 -8.01 Recife
-28.62 38.55 Horta
-27.22 38.65 Angra
-25.52 37.71 Ponta_Delgada
-23.70 15.00 Praia
-22.96 64.15 Reykjavik
-17.67 14.83 Dakar
-17.00 13.00 Bathurst
-16.91 32.63 Funchal
-16.00 18.00 Nouakchott
-15.15 28.05 LasPalmas
-14.71 -7.96 Ascension
-13.50 9.50 Conakre
-13.18 8.45 Freetown
-11.50 6.70 Monrovia
-9.70 52.27 Tralee
-9.13 38.72 Lisbon
-9.04 53.28 Galway
-8.60 52.66 Limerick
-8.47 51.93 Cork
-8.37 41.14 Porto
-8.21 71.07 Jan_Mayen
-8.01 12.65 Bamako
-7.63 33.61 Casa_Blanca
-7.92 37.07 Faro
-6.84 34.01 Rabat
-6.76 62.00 Torshavn
-6.40 58.21 Stornaway
-6.25 53.34 Dublin
-5.94 54.59 Belfast
-5.85 43.36 Orviedo
-5.71 -15.92 St._Helena
-5.65 36.13 Gibraltar
-4.57 36.72 Malaga
-4.49 48.39 Brest
-4.26 55.87 Glasgow
-4.23 57.48 Inverness
-4.04 5.32 Abidjan
-3.68 40.44 Madrid
-3.40 37.19 Granada
-3.19 55.95 Edinburgh
-3.15 51.47 Cardiff
-3.03 53.80 Blackpool
-3.02 16.74 Timbuktu
-2.98 53.39 Liverpool
-2.95 43.24 Bilbao
-2.58 51.44 Bristol
-2.25 53.45 Manchester
-2.09 57.13 Aberdeen
-2.00 12.50 Ouagadougu
-1.97 50.72 Bournemouth
-1.86 52.48 Birmingham
-1.59 47.20 Nantes
-1.59 49.67 Cherbourg
-1.14 52.95 Nottingham
-1.11 49.12 St._Lo
-0.63 39.48 Valencia
-0.57 44.84 Bordeaux
-0.54 35.68 Oran
-0.51 38.34 Alicante
-0.23 5.53 Accra
-0.13 51.01 London
-0.04 16.25 Gao
0.10 49.48 Le_Havre
0.18 48.00 Le_Mans
1.22 6.11 Lome
1.26 45.94 Limoges
1.45 38.91 Ibizia
1.47 43.70 Toulouse
1.52 42.51 Andorra
2.18 41.41 Barcelona
2.32 48.85 Paris
2.65 39.57 Palma
2.65 6.25 Porto_Novo
3.00 14.00 Niamey
3.05 36.75 Algiers
3.43 6.43 Lagos
4.02 49.26 Reims
4.32 52.09 Gravenhage
4.37 50.85 Brussels
4.41 51.22 Antwerp
4.48 51.58 Rotterdam
4.85 45.74 Lyon
5.05 47.32 Dijon
5.34 60.40 Bergen
5.37 43.30 Marseille
5.88 52.37 Amsterdam
6.12 49.61 Luxembourg
6.13 62.54 Alesund
6.15 46.24 Geneva
6.19 49.12 Metz
6.79 51.23 Dusseldorf
6.96 50.93 Koln
7.10 50.73 Bonn
7.30 46.47 Gstaad
7.43 43.74 Monte
7.44 46.97 Bern
7.50 43.80 Monaco
7.51 47.54 Basel
7.58 50.33 Koblenz
7.69 45.07 Turin
7.84 47.99 Freiburg
8.29 47.04 Luzern
8.40 49.00 Karlsruhe
8.50 4.00 Santa_Isabel
8.54 47.37 Zurich
8.69 50.11 Frankfurt
8.78 53.10 Bremen
8.97 46.02 Lugano
9.18 45.45 Milan
9.19 48.78 Stuttgart
9.41 47.42 St._Gallen
9.50 5.00 Libreville
9.50 50.32 Kassel
9.52 47.14 Vaduz
9.71 53.58 Wedel
9.75 52.31 Hannover
