  5.6  65.2  67.5  285 !SAfr<-GRE
  5.6  65.2  67.5  290 !SAfr<-GRE
  5.6  65.2  67.5  295 !SAfr<-GRE
  5.6  65.2  67.5  300 !SAfr<-GRE
  5.6  65.2  67.5  305 !SAfr<-GRE
  5.6  65.2  67.5  310 !SAfr<-GRE
  5.6  65.2  67.5  315 !SAfr<-GRE
  5.6  65.2  67.5  320 !SAfr<-GRE

-40.2  62.1   1.6    5 !SAfr<-Parana
-40.3  61.8   3.3   10 !SAfr<-Parana
-38.1  59.6   5.4   15 !SAfr<-Parana
-37.1  58.5   7.5   20 !SAfr<-Parana
-36.4  57.7   9.6   25 !SAfr<-Parana
-34.5  56.7  11.9   30 !SAfr<-Parana
-33.4  56.5  14.3   35 !SAfr<-Parana
-32.6  57.1  16.6   40 !SAfr<-Parana
-31.4  57.0  18.6   45 !SAfr<-Parana
-31.2  58.2  20.5   50 !SAfr<-Parana
-31.9  60.7  22.0   55 !SAfr<-Parana
-32.8  62.5  23.3   60 !SAfr<-Parana
-33.5  63.7  24.6   65 !SAfr<-Parana
-33.4  63.5  26.1   70 !SAfr<-Parana
-33.9  63.2  28.6   75 !SAfr<-Parana
-34.3  62.7  31.5   80 !SAfr<-Parana
-34.3  61.2  34.4   85 !SAfr<-Parana
-34.5  59.1  37.3   90 !SAfr<-Parana
-34.7  57.2  40.3   95 !SAfr<-Parana
-34.8  55.7  43.3  100 !SAfr<-Parana
-34.9  54.3  46.4  105 !SAfr<-Parana
-35.0  53.1  49.5  110 !SAfr<-Parana
-35.0  52.2  51.7  115 !SAfr<-Parana
-35.0  51.6  52.8  120 !SAfr<-Parana
-33.9  50.7  54.0  125 !SAfr<-Parana
-33.4  48.5  55.4  130 !SAfr<-Parana
-33.3  47.5  56.0  135 !SAfr<-Parana
-33.3  47.5  56.1  140 !SAfr<-Parana
-33.3  47.5  56.1  145 !SAfr<-Parana
-33.3  47.5  56.2  150 !SAfr<-Parana
-33.3  47.5  56.2  155 !SAfr<-Parana
-33.3  47.5  56.2  160 !SAfr<-Parana
-33.3  47.5  56.2  165 !SAfr<-Parana
-33.3  47.5  56.2  170 !SAfr<-Parana
-33.3  47.5  56.2  175 !SAfr<-Parana
-33.3  47.5  56.2  180 !SAfr<-Parana
-33.3  47.5  56.2  185 !SAfr<-Parana
-33.3  47.5  56.2  190 !SAfr<-Parana
-33.3  47.5  56.2  195 !SAfr<-Parana
-33.3  47.5  56.2  200 !SAfr<-Parana
-33.3  47.5  56.2  205 !SAfr<-Parana
-33.3  47.5  56.2  210 !SAfr<-Parana
-33.3  47.5  56.2  215 !SAfr<-Parana
-33.3  47.5  56.2  220 !SAfr<-Parana
-33.3  47.5  56.2  225 !SAfr<-Parana
-33.3  47.5  56.2  230 !SAfr<-Parana
-33.3  47.5  56.2  235 !SAfr<-Parana
-33.3  47.5  56.2  240 !SAfr<-Parana
-33.3  47.5  56.2  245 !SAfr<-Parana
-33.3  47.5  56.2  250 !SAfr<-Parana
-33.3  47.5  56.2  255 !SAfr<-Parana
-33.3  47.5  56.2  260 !SAfr<-Parana
-33.3  47.5  56.2  265 !SAfr<-Parana
-33.3  47.5  56.2  270 !SAfr<-Parana
-33.3  47.5  56.2  275 !SAfr<-Parana
-33.3  47.5  56.2  280 !SAfr<-Parana
-33.3  47.5  56.2  285 !SAfr<-Parana
-33.3  47.5  56.2  290 !SAfr<-Parana
-33.3  47.5  56.2  295 !SAfr<-Parana
-33.3  47.5  56.2  300 !SAfr<-Parana
-33.3  47.5  56.2  305 !SAfr<-Parana
-33.3  47.5  56.2  310 !SAfr<-Parana
-33.3  47.5  56.2  315 !SAfr<-Parana
-33.3  47.5  56.2  320 !SAfr<-Parana

  0.0  90.0   0.0    5 !SAfr<-NWAFR
  0.0  90.0   0.0   10 !SAfr<-NWAFR
  0.0  90.0   0.0   15 !SAfr<-NWAFR
  0.0  90.0   0.0   20 !SAfr<-NWAFR
  0.0  90.0   0.0   25 !SAfr<-NWAFR
  0.0  90.0   0.0   30 !SAfr<-NWAFR
  0.0  90.0   0.0   35 !SAfr<-NWAFR
  0.0  90.0   0.0   40 !SAfr<-NWAFR
  0.0  90.0   0.0   45 !SAfr<-NWAFR
  0.0  90.0   0.0   50 !SAfr<-NWAFR
  0.0  90.0   0.0   55 !SAfr<-NWAFR
  0.0  90.0   0.0   60 !SAfr<-NWAFR
  0.0  90.0   0.0   65 !SAfr<-NWAFR
  0.0  90.0   0.0   70 !SAfr<-NWAFR
  0.0  90.0   0.0   75 !SAfr<-NWAFR
  0.0  90.0   0.0   80 !SAfr<-NWAFR
  6.7  19.6   0.0   85 !SAfr<-NWAFR
  6.7  16.6  -0.2   90 !SAfr<-NWAFR
  6.7  16.5  -0.4   95 !SAfr<-NWAFR
  6.7  16.5  -0.5  100 !SAfr<-NWAFR
  6.7  16.5  -0.7  105 !SAfr<-NWAFR
  6.7  16.5  -0.8  110 !SAfr<-NWAFR
  6.7  16.5  -1.0  115 !SAfr<-NWAFR
  6.7  16.5  -1.1  120 !SAfr<-NWAFR
  6.7  16.5  -1.2  125 !SAfr<-NWAFR
  6.7  16.5  -1.2  130 !SAfr<-NWAFR
  6.7  16.5  -1.2  135 !SAfr<-NWAFR
  6.7  16.5  -1.2  140 !SAfr<-NWAFR
  6.7  16.5  -1.2  145 !SAfr<-NWAFR
  6.7  16.5  -1.2  150 !SAfr<-NWAFR
  6.7  16.5  -1.2  155 !SAfr<-NWAFR
  6.7  16.5  -1.2  160 !SAfr<-NWAFR
  6.7  16.5  -1.2  165 !SAfr<-NWAFR
  6.7  16.5  -1.2  170 !SAfr<-NWAFR
  6.7  16.5  -1.2  175 !SAfr<-NWAFR
  6.7  16.5  -1.2  180 !SAfr<-NWAFR
